length,width,height,lw,ww,dw,sw,sfdw,afdw
12.99,6.38,6.52,0.26,0.1931,0.103,0.0923,0.0111,0.0879
13.62,6.41,6.74,0.2664,0.2133,0.155,0.1003,0.0189,0.0954
12,5.91,6.38,0.1998,0.1428,0.0406,0.0747,0.0026,0.0709
9.11,4.35,5.33,0.0919,0.0635,0.0323,0.031,0.0018,0.0279
15.14,7.18,7.13,0.2818,0.2209,0.1275,0.1136,0.0139,0.1103
10.64,5.89,6.37,0.182,0.1377,0.068,0.0591,0.0093,0.0574
15.5,7.75,7.89,0.3826,0.2963,0.1741,0.155,0.0192,0.1492
15.44,9.22,8.52,0.5051,0.3538,0.1987,0.1804,0.0192,0.1722
15.4,6.18,7.69,0.3189,0.2205,0.1325,0.1196,0.0138,0.1142
15.8,8.4,7.29,0.427,0.3439,0.2241,0.2116,0.0135,0.2038
11.03,6.11,5.85,0.1751,0.13,0.0758,0.0689,0.0071,0.0756
15.44,6.73,7.92,0.3615,0.2611,0.1347,0.1208,0.0143,0.1175
13.13,7.43,6.95,0.3022,0.2256,0.1124,0.0954,0.0172,0.0919
12.61,5.86,6.58,0.1628,0.1298,0.068,0.0609,0.0073,0.056
14.18,5.82,6.68,0.2505,0.1984,0.1045,0.0903,0.0144,0.087
12.92,7.07,6.87,0.2643,0.215,0.1087,0.0959,0.0135,0.0926
10.56,5.29,5.42,0.1366,0.1109,0.0572,0.0507,0.0068,0.0488
14.58,6.47,6.67,0.2652,0.203,0.1066,0.0329,0.0135,0.0891
8.58,4.86,4.75,0.0946,0.071,0.0372,0.0332,0.0042,0.0319
12.24,6.7,6.44,0.2264,0.166,0.091,0.0804,0.0108,0.0774
12.52,5.91,5.96,0.2094,0.1612,0.0921,0.081,0.0112,0.0788
10.98,5.64,5.53,0.154,0.1378,0.0649,0.0559,0.0091,0.0528
